gene_id	Calu3_totalRNA-S1-4h-A	Calu3_totalRNA-S1-4h-B	Calu3_totalRNA-S1-12h-A	Calu3_totalRNA-S1-12h-B	Calu3_totalRNA-S1-24h-A	Calu3_totalRNA-S1-24h-B	Calu3_totalRNA-S2-4h-A	Calu3_totalRNA-S2-4h-B	Calu3_totalRNA-S2-12h-A	Calu3_totalRNA-S2-12h-B	Calu3_totalRNA-S2-24h-A	Calu3_totalRNA-S2-24h-B	Calu3_totalRNA-mock-4h-A	Calu3_totalRNA-mock-4h-B	Calu3_totalRNA-mock-24h-A	Calu3_totalRNA-mock-24h-B	Calu3_totalRNA-untr-4h-A	Calu3_totalRNA-untr-4h-B
ENSG00000242622.1	23	49	21	25	10	6	54	57	28	18	25	27	34	27	33	41	23	50
ENSG00000242634.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242640.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000242641.5	0	0	3	0	0	0	1	0	0	1	0	3	0	0	0	1	0	0
ENSG00000242650.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000242654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000242659.1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000242660.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0
ENSG00000242661.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242667.1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000242670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000242671.1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000242673.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242683.1	1	2	1	0	0	0	5	1	1	0	0	0	2	1	2	7	2	1
ENSG00000242689.3	13	52	10	8	6.5	8.5	32.5	43.5	17.5	13	22.5	17	30	28.5	14.5	17	23.5	38
ENSG00000242692.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000242696.3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ENSG00000242697.2	2	2	0	0	0	0	2	0	0	0	0	1	1	0	3	1	1	1
ENSG00000242705.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000242707.3	0	0	0	0	1	0	0	3	0	1	1	0	2	0	1	1	0	4
ENSG00000242709.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000242715.7	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1
ENSG00000242719.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242728.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000242731.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
